r_xy_mm,phi_deg,z_mm,spiral,order_idx
250,0.0,15,forward,0
263,4.7,41,reverse,1
239,2.9,65,forward,2
241,1.8,106,reverse,3
262,5.9,130,forward,4
249,6.5,146,reverse,5
236,1.1,170,forward,6
239,3.6,211,reverse,7
252,4.0,235,forward,8
263,0.7,276,reverse,9
255,7.0,300,forward,10
261,5.4,316,reverse,11
235,2.2,340,forward,12
242,2.5,381,reverse,13
264,5.2,404,forward,14
254,7.2,421,reverse,15
264,0.4,445,forward,16
250,4.3,486,reverse,17
154,12.4,489,reverse,18
252,8.1,469,forward,19
246,12.0,461,reverse,20
247,12.8,429,forward,21
264,14.9,396,reverse,22
248,9.9,364,forward,23
251,10.2,356,reverse,24
255,14.6,324,forward,25
262,13.1,291,reverse,26
265,11.7,259,forward,27
246,8.3,251,reverse,28
248,8.8,195,forward,29
259,11.3,186,reverse,30
256,13.5,154,forward,31
251,14.2,121,reverse,32
249,10.6,90,forward,33
262,9.5,81,reverse,34
261,7.7,25,forward,35
265,12.4,17,reverse,36
157,12.4,13,reverse,37
241,20.1,9,forward,38
248,15.3,50,forward,39
262,17.1,57,reverse,40
253,21.9,97,reverse,41
240,18.3,114,forward,42
260,18.9,162,reverse,43
239,21.2,179,forward,44
243,16.4,219,forward,45
245,16.0,226,reverse,46
250,20.7,267,reverse,47
241,19.4,284,forward,48
251,17.8,331,reverse,49
242,22.3,349,forward,50
240,17.6,389,forward,51
256,19.6,436,reverse,52
246,20.5,454,forward,53
265,15.8,494,forward,54
118,20.1,495,forward,55
213,24.8,491,reverse,56
239,28.2,479,forward,57
254,24.4,476,reverse,58
250,25.2,414,forward,59
258,27.3,412,reverse,60
250,22.6,371,reverse,61
250,27.0,309,forward,62
264,25.5,307,reverse,63
254,24.1,244,forward,64
237,28.4,242,reverse,65
254,28.8,204,forward,66
238,23.7,202,reverse,67
246,25.9,139,forward,68
252,26.6,137,reverse,69
243,23.0,74,forward,70
248,29.5,72,reverse,71
255,27.7,34,forward,72
261,24.8,32,reverse,73
223,27.7,9,forward,74
258,32.5,7,reverse,75
105,32.5,15,reverse,76
247,37.2,47,reverse,77
237,35.4,59,forward,78
245,30.7,99,forward,79
245,34.3,112,reverse,80
235,33.6,164,forward,81
238,31.3,177,reverse,82
239,36.1,217,reverse,83
254,36.5,229,forward,84
241,31.8,269,forward,85
254,33.1,282,reverse,86
254,34.7,334,forward,87
261,30.2,347,reverse,88
253,30.0,374,forward,89
252,35.0,387,reverse,90
260,32.9,439,forward,91
250,32.0,452,reverse,92
253,36.8,492,reverse,93
253,44.4,467,reverse,94
240,40.6,463,forward,95
258,39.7,427,reverse,96
241,37.6,399,forward,97
237,42.6,362,reverse,98
254,42.4,358,forward,99
250,37.9,322,reverse,100
256,39.4,294,forward,101
260,40.8,257,reverse,102
239,44.2,254,forward,103
252,43.7,192,reverse,104
263,41.2,189,forward,105
246,39.0,152,reverse,106
258,38.3,124,forward,107
242,41.9,87,reverse,108
249,43.1,84,forward,109
238,44.9,22,reverse,110
251,40.1,19,forward,111
167,40.1,6,forward,112
260,47.8,44,forward,113
236,49.6,62,reverse,114
241,50.7,108,forward,115
261,46.7,127,reverse,116
264,46.0,149,forward,117
264,51.4,167,reverse,118
258,48.9,213,forward,119
258,48.5,232,reverse,120
239,51.8,278,forward,121
247,45.5,297,reverse,122
263,47.1,318,forward,123
236,50.3,337,reverse,124
252,50.0,383,forward,125
240,47.4,402,reverse,126
242,45.3,423,forward,127
256,52.1,442,reverse,128
240,48.2,488,forward,129
248,47.8,494,forward,130
231,57.3,490,reverse,131
263,56.8,482,reverse,132
264,53.0,448,forward,133
264,59.8,417,reverse,134
241,57.7,408,forward,135
240,55.0,377,reverse,136
253,54.8,343,forward,137
235,57.9,312,reverse,138
248,59.5,303,forward,139
264,53.2,272,reverse,140
252,56.6,238,forward,141
245,56.1,208,reverse,142
255,53.6,173,forward,143
238,59.1,143,reverse,144
263,58.4,133,forward,145
244,54.3,103,reverse,146
239,55.5,68,forward,147
259,57.3,38,reverse,148
234,57.3,13,reverse,149
264,52.5,4,forward,150
261,64.9,13,reverse,151
257,60.2,28,forward,152
258,62.0,78,reverse,153
259,63.1,93,forward,154
258,66.7,118,reverse,155
241,66.0,158,forward,156
253,63.8,183,reverse,157
263,61.3,198,forward,158
246,60.9,248,reverse,159
253,64.2,263,forward,160
254,65.6,288,reverse,161
240,67.2,328,forward,162
263,62.7,353,reverse,163
262,62.4,368,forward,164
254,67.4,393,reverse,165
252,65.3,433,forward,166
256,64.5,458,reverse,167
257,60.6,473,forward,168
201,60.2,488,forward,169
244,73.0,458,forward,170
237,72.2,433,reverse,171
258,70.1,393,forward,172
249,74.8,353,forward,173
239,70.3,328,reverse,174
252,71.9,288,forward,175
250,73.3,263,reverse,176
258,68.5,223,reverse,177
255,69.0,223,forward,178
265,73.7,183,forward,179
253,71.5,158,reverse,180
241,70.8,118,forward,181
247,74.4,93,reverse,182
259,69.7,53,reverse,183
240,67.8,53,forward,184
244,72.6,13,forward,185
234,80.2,8,forward,186
203,77.3,11,reverse,187
254,77.3,28,reverse,188
251,80.2,38,forward,189
239,82.0,68,reverse,190
236,75.5,78,forward,191
256,79.1,133,reverse,192
265,78.4,143,forward,193
241,76.2,198,reverse,194
255,81.4,208,forward,195
265,80.9,238,reverse,196
253,76.6,248,forward,197
239,78.0,303,reverse,198
256,79.6,312,forward,199
